,,,,,,,,更新_20250502,
49,10108100-1,101081,みついし農業協同組合,生産資材燃料課,岩手営業所,0001,北海道,,
50,10109001-1,101090,稚内農業協同組合,勇知店,岩手営業所,0001,北海道,,
51,10109501-1,101095,中標津町　農業協同組合,資材店舗,岩手営業所,0001,北海道,,
52,10109601-1,101096,釧路丹頂　農業協同組合,音別支所購買課,岩手営業所,0001,北海道,,
53,10200100-1,102001,岩木町　農業協同組合,経済課,岩手営業所,0002,青森県,,
54,10200300-1,102003,相馬村農業協同組合,購買課,岩手営業所,0002,青森県,,
55,10200401-1,102004,八戸　農業協同組合,上市川店舗,岩手営業所,0002,青森県,,
56,10200403-1,102004,八戸　農業協同組合,新郷グリーンセンター,岩手営業所,0002,青森県,,
57,10200404-1,102004,八戸　農業協同組合,倉石グリーンセンター,岩手営業所,0002,青森県,,
58,10200405-1,102004,八戸　農業協同組合,又重出張所,岩手営業所,0002,青森県,,
59,10200406-1,102004,八戸　農業協同組合,五戸支所,岩手営業所,0002,青森県,,
60,10200407-1,102004,八戸　農業協同組合,浅田グリーンセンター,岩手営業所,0002,青森県,,
61,10200408-1,102004,八戸　農業協同組合,経済企画課,岩手営業所,0002,青森県,,
62,10200411-1,102004,八戸　農業協同組合,グリーンセンターあぐ,岩手営業所,0002,青森県,,
63,10200412-1,102004,八戸　農業協同組合,南部グリーンセンター,岩手営業所,0002,青森県,,
64,10200601-1,102006,八戸　農業協同組合,田子店舗,岩手営業所,0002,青森県,,
65,10200603-1,102006,八戸　農業協同組合,田子グリーンセンター,岩手営業所,0002,青森県,,
66,10200604-1,102006,八戸　農業協同組合,豊崎グリーンセンター,岩手営業所,0002,青森県,,
67,10200701-1,102007,津軽みらい　農業協同組合,山形グリーンセンター,岩手営業所,0002,青森県,,
68,10200703-1,102007,津軽みらい　農業協同組合,黒石グリーンセンター,岩手営業所,0002,青森県,,
69,10200801-1,102008,八戸　農業協同組合,名川グリーンセンター,岩手営業所,0002,青森県,,
70,10200900-1,102009,八戸　農業協同組合,三戸支店,岩手営業所,0002,青森県,,
71,10200901-1,102009,八戸　農業協同組合,三戸グリーンセンター,岩手営業所,0002,青森県,,
72,10200902-1,102009,八戸　農業協同組合,名川中央支店,岩手営業所,0002,青森県,,
73,10200903-1,102009,八戸　農業協同組合,猿辺出張所,岩手営業所,0002,青森県,,
74,10200904-1,102009,八戸　農業協同組合,南部グリーンセンター,岩手営業所,0002,青森県,,
75,10200905-1,102009,八戸　農業協同組合,剣吉支店,岩手営業所,0002,青森県,,
76,10200906-1,102009,八戸　農業協同組合,斗川支店,岩手営業所,0002,青森県,,
77,10200907-1,102009,八戸　農業協同組合,諏訪ノ平出張所,岩手営業所,0002,青森県,,
78,10201004-1,102010,八戸　農業協同組合,舘支店,岩手営業所,0002,青森県,,
79,10201008-1,102010,八戸　農業協同組合,福地グリーンセンター,岩手営業所,0002,青森県,,
80,10201010-1,102010,八戸　農業協同組合,南郷グリーンセンター,岩手営業所,0002,青森県,,
81,10201011-1,102010,八戸　農業協同組合,福田出張所,岩手営業所,0002,青森県,,
82,10201012-1,102010,八戸　農業協同組合,中央グリーンセンター,岩手営業所,0002,青森県,,
83,10201013-1,102010,八戸　農業協同組合,中央グリーンセンター,岩手営業所,0002,青森県,,
84,10201014-1,102010,八戸　農業協同組合,是川グリーンセンター,岩手営業所,0002,青森県,,
85,10201500-1,102015,碇ケ関村農業協同組合,（支所名なし）配置用,岩手営業所,0002,青森県,,
86,10201600-1,102016,津軽みらい　農業協同組合,本所,岩手営業所,0002,青森県,,
87,10201601-1,102016,津軽みらい　農業協同組合,板柳支店,岩手営業所,0002,青森県,,
88,10201602-1,102016,津軽みらい　農業協同組合,小阿弥支所,岩手営業所,0002,青森県,,
89,10201604-1,102016,津軽みらい　農業協同組合,南部支所,岩手営業所,0002,青森県,,
90,10201700-1,102017,十和田湖町農業協同組合,本所,岩手営業所,0002,青森県,,
91,10201701-1,102017,十和田湖町農業協同組合,沢田支所,岩手営業所,0002,青森県,,
92,10201800-1,102018,つがるにしきた　農業協同組合,購買部片山様,岩手営業所,0002,青森県,,
93,10201801-1,102018,つがるにしきた　農業協同組合,中泊支店,岩手営業所,0002,青森県,,
94,10201805-1,102018,つがるにしきた　農業協同組合,津軽北部支店,岩手営業所,0002,青森県,,
95,10201806-1,102018,つがるにしきた　農業協同組合,川倉出張所,岩手営業所,0002,青森県,,
96,10201807-1,102018,つがるにしきた　農業協同組合,嘉瀬支店,岩手営業所,0002,青森県,,
97,10201808-1,102018,つがるにしきた　農業協同組合,毘沙門支店,岩手営業所,0002,青森県,,
98,10201809-1,102018,つがるにしきた　農業協同組合,武田事業所,岩手営業所,0002,青森県,,
99,10201810-1,102018,つがるにしきた　農業協同組合,つがる白神支店,岩手営業所,0002,青森県,,
100,10201812-1,102018,つがるにしきた　農業協同組合,赤石支店,岩手営業所,0002,青森県,,
101,10202000-1,102020,十和田おいらせ農業協同組合,横浜町支店,岩手営業所,0002,青森県,,
102,10203100-1,102031,福地村農業協同組合,本所購買課,岩手営業所,0002,青森県,,
103,10203301-1,102033,津軽みらい　農業協同組合,松崎支所,岩手営業所,0002,青森県,,
104,10203302-1,102033,津軽みらい　農業協同組合,本町支所,岩手営業所,0002,青森県,,
105,10203303-1,102033,津軽みらい　農業協同組合,竹舘グリーンセンター,岩手営業所,0002,青森県,,
106,10203304-1,102033,津軽みらい　農業協同組合,新屋支店,岩手営業所,0002,青森県,,
107,10203305-1,102033,津軽みらい　農業協同組合,葛川グリーンセンター,岩手営業所,0002,青森県,,
108,10203309-1,102033,津軽みらい　農業協同組合,大坊支所,岩手営業所,0002,青森県,,
109,10203311-1,102033,津軽みらい　農業協同組合,黒石グリーンセンター,岩手営業所,0002,青森県,,
110,10203400-1,102034,津軽みらい　農業協同組合,尾上グリーンセンター,岩手営業所,0002,青森県,,
111,10203500-1,102035,西目屋村　農業協同組合,購買課,岩手営業所,0002,青森県,,
112,10203800-1,102038,ＫＮＫくみあいスーパー,本店,岩手営業所,0002,青森県,,
113,10203801-1,102038,ＫＮＫくみあいスーパー,追子野木店,岩手営業所,0002,青森県,,
114,10204205-1,102042,津軽みらい　農業協同組合,六郷支店,岩手営業所,0002,青森県,,
115,10204206-1,102042,津軽みらい　農業協同組合,浅瀬石支店,岩手営業所,0002,青森県,,
116,10300102-1,103001,ＪＡ全農いわて,水沢事業所,岩手営業所,0003,岩手県,,
117,10300103-1,103001,ＪＡ全農いわて,園芸部資材事務課,岩手営業所,0003,岩手県,,
118,10300103-2,103001,ＪＡ全農いわて,園芸部資材事務課,岩手営業所,0003,岩手県,,
119,10300200-1,103002,いわて平泉農業協同組合,（支所名なし）配置用,岩手営業所,0003,岩手県,,
120,10300201-1,103002,いわて平泉農業協同組合,Ａコープ花泉,岩手営業所,0003,岩手県,,
121,10300202-1,103002,いわて平泉農業協同組合,涌津支店,岩手営業所,0003,岩手県,,
122,10300203-1,103002,いわて平泉農業協同組合,高倉支店,岩手営業所,0003,岩手県,,
123,10300204-1,103002,いわて平泉農業協同組合,油島支店,岩手営業所,0003,岩手県,,
124,10300205-1,103002,いわて平泉農業協同組合,花泉支店,岩手営業所,0003,岩手県,,
125,10300206-1,103002,いわて平泉農業協同組合,金沢支店,岩手営業所,0003,岩手県,,
126,10300207-1,103002,いわて平泉農業協同組合,老松支店,岩手営業所,0003,岩手県,,
127,10300208-1,103002,いわて平泉農業協同組合,日形支店,岩手営業所,0003,岩手県,,
128,10300209-1,103002,いわて平泉農業協同組合,永井支店,岩手営業所,0003,岩手県,,
129,10300210-1,103002,いわて平泉農業協同組合,Ａコープ永井,岩手営業所,0003,岩手県,,
130,10300212-1,103002,いわて平泉農業協同組合,花泉営農経済センター,岩手営業所,0003,岩手県,,
131,10300213-1,103002,いわて平泉農業協同組合,永井営農経済センター,岩手営業所,0003,岩手県,,
132,10300217-1,103002,いわて平泉農業協同組合,一関営農経済センター,岩手営業所,0003,岩手県,,
133,10300218-1,103002,いわて平泉農業協同組合,真滝支店,岩手営業所,0003,岩手県,,
134,10300219-1,103002,いわて平泉農業協同組合,舞川支店,岩手営業所,0003,岩手県,,
135,10300220-1,103002,いわて平泉農業協同組合,弥栄支店,岩手営業所,0003,岩手県,,
136,10300221-1,103002,いわて平泉農業協同組合,萩荘支店,岩手営業所,0003,岩手県,,
137,10300222-1,103002,いわて平泉農業協同組合,市野々支店,岩手営業所,0003,岩手県,,
138,10300223-1,103002,いわて平泉農業協同組合,厳美支店,岩手営業所,0003,岩手県,,
139,10300224-1,103002,いわて平泉農業協同組合,達古袋支店,岩手営業所,0003,岩手県,,
140,10300225-1,103002,いわて平泉農業協同組合,本寺支店,岩手営業所,0003,岩手県,,
141,10300226-1,103002,いわて平泉農業協同組合,山目支店,岩手営業所,0003,岩手県,,
142,10300227-1,103002,いわて平泉農業協同組合,中里支店,岩手営業所,0003,岩手県,,
143,10300228-1,103002,いわて平泉農業協同組合,一関支店,岩手営業所,0003,岩手県,,
144,10300229-1,103002,いわて平泉農業協同組合,相川支店,岩手営業所,0003,岩手県,,
145,10300230-1,103002,いわて平泉農業協同組合,平泉支店,岩手営業所,0003,岩手県,,
146,10300231-1,103002,いわて平泉農業協同組合,山谷支店,岩手営業所,0003,岩手県,,
147,10300236-1,103002,いわて平泉農業協同組合,総務部経理課,岩手営業所,0003,岩手県,,
148,10300600-1,103006,いわて平泉農業協同組合,総務部経理課,岩手営業所,0003,岩手県,,
149,10300601-1,103006,いわて平泉農業協同組合,渋民支所,岩手営業所,0003,岩手県,,
150,10300602-1,103006,いわて平泉農業協同組合,興田支店,岩手営業所,0003,岩手県,,
151,10300603-1,103006,いわて平泉農業協同組合,大原支店,岩手営業所,0003,岩手県,,
152,10300604-1,103006,いわて平泉農業協同組合,摺沢支所,岩手営業所,0003,岩手県,,
153,10300605-1,103006,いわて平泉農業協同組合,Ａコープだいとう,岩手営業所,0003,岩手県,,
154,10300606-1,103006,いわて平泉農業協同組合,猿沢支所,岩手営業所,0003,岩手県,,
155,10300607-1,103006,いわて平泉農業協同組合,曽慶支所,岩手営業所,0003,岩手県,,
156,10300608-1,103006,いわて平泉農業協同組合,大東営農経済センター,岩手営業所,0003,岩手県,,
157,10300609-1,103006,いわて平泉農業協同組合,千厩営農経済センター,岩手営業所,0003,岩手県,,
158,10300610-1,103006,いわて平泉農業協同組合,奥玉支店,岩手営業所,0003,岩手県,,
159,10300611-1,103006,いわて平泉農業協同組合,東山営農経済センター,岩手営業所,0003,岩手県,,
160,10300617-1,103006,いわて平泉農業協同組合,千厩支所,岩手営業所,0003,岩手県,,
161,10300618-1,103006,いわて平泉農業協同組合,小梨支所,岩手営業所,0003,岩手県,,
162,10300619-1,103006,いわて平泉農業協同組合,磐清水支所,岩手営業所,0003,岩手県,,
163,10300620-1,103006,いわて平泉農業協同組合,清田支所,岩手営業所,0003,岩手県,,
164,10300621-1,103006,いわて平泉農業協同組合,藤沢営農センタ－,岩手営業所,0003,岩手県,,
166,10300630-1,103006,いわて平泉農業協同組合,折壁支所,岩手営業所,0003,岩手県,,
167,10300631-1,103006,いわて平泉農業協同組合,矢越支所,岩手営業所,0003,岩手県,,
168,10300632-1,103006,いわて平泉農業協同組合,津谷川支所,岩手営業所,0003,岩手県,,
169,10300633-1,103006,いわて平泉農業協同組合,川崎営農経済センター,岩手営業所,0003,岩手県,,
170,10300634-1,103006,いわて平泉農業協同組合,川崎営農経済センタ－,岩手営業所,0003,岩手県,,
171,10300635-1,103006,いわて平泉農業協同組合,藤沢営農経済センター,岩手営業所,0003,岩手県,,
172,10300640-1,103006,いわて平泉農業協同組合,大東支店,岩手営業所,0003,岩手県,,
173,10301300-1,103013,岩手ふるさと農業協同組合,農産課,岩手営業所,0003,岩手県,,
174,10301301-1,103013,岩手ふるさと農業協同組合,胆沢資材センター,岩手営業所,0003,岩手県,,
175,10301302-1,103013,岩手ふるさと農業協同組合,前沢資材センタ－,岩手営業所,0003,岩手県,,
176,10301303-1,103013,岩手ふるさと農業協同組合,古城支店,岩手営業所,0003,岩手県,,
177,10301304-1,103013,岩手ふるさと農業協同組合,白山支店,岩手営業所,0003,岩手県,,
178,10301305-1,103013,岩手ふるさと農業協同組合,生母支店,岩手営業所,0003,岩手県,,
179,10301306-1,103013,岩手ふるさと農業協同組合,母体支店,岩手営業所,0003,岩手県,,
180,10301307-1,103013,岩手ふるさと農業協同組合,稲置支店,岩手営業所,0003,岩手県,,
181,10301308-1,103013,岩手ふるさと農業協同組合,前沢東支店,岩手営業所,0003,岩手県,,
182,10301309-1,103013,岩手ふるさと農業協同組合,赤生津支店,岩手営業所,0003,岩手県,,
183,10301312-1,103013,岩手ふるさと農業協同組合,水沢支店,岩手営業所,0003,岩手県,,
184,10301314-1,103013,岩手ふるさと農業協同組合,産直来夢くん,岩手営業所,0003,岩手県,,
185,10301315-1,103013,岩手ふるさと農業協同組合,水沢資材センター,岩手営業所,0003,岩手県,,
186,10301316-1,103013,岩手ふるさと農業協同組合,上姉体支店,岩手営業所,0003,岩手県,,
187,10301317-1,103013,岩手ふるさと農業協同組合,黒石支店,岩手営業所,0003,岩手県,,
188,10301318-1,103013,岩手ふるさと農業協同組合,福原支店,岩手営業所,0003,岩手県,,
189,10301319-1,103013,岩手ふるさと農業協同組合,常盤支店,岩手営業所,0003,岩手県,,
190,10301320-1,103013,岩手ふるさと農業協同組合,瀬台野支店,岩手営業所,0003,岩手県,,
191,10301321-1,103013,岩手ふるさと農業協同組合,満倉支店,岩手営業所,0003,岩手県,,
192,10301322-1,103013,岩手ふるさと農業協同組合,羽田支店,岩手営業所,0003,岩手県,,
193,10301323-1,103013,岩手ふるさと農業協同組合,佐倉河支店,岩手営業所,0003,岩手県,,
194,10301324-1,103013,岩手ふるさと農業協同組合,姉体支店,岩手営業所,0003,岩手県,,
195,10301325-1,103013,岩手ふるさと農業協同組合,菜旬館,岩手営業所,0003,岩手県,,
196,10301326-1,103013,岩手ふるさと農業協同組合,衣川資材センタ－,岩手営業所,0003,岩手県,,
197,10301327-1,103013,岩手ふるさと農業協同組合,本店事務センター,岩手営業所,0003,岩手県,,
198,10301328-1,103013,岩手ふるさと農業協同組合,みずさわ物産センター,岩手営業所,0003,岩手県,,
199,10301330-1,103013,岩手ふるさと農業協同組合,水沢資材センタ－,岩手営業所,0003,岩手県,,
200,10301331-1,103013,岩手ふるさと農業協同組合,金ケ崎資材センタ－,岩手営業所,0003,岩手県,,
201,10301332-1,103013,岩手ふるさと農業協同組合,生活生産拠点配送センター,岩手営業所,0003,岩手県,,
202,10301333-1,103013,岩手ふるさと農業協同組合,胆沢資材センタ－,岩手営業所,0003,岩手県,,
203,10301700-1,103017,おおふなとし農業協同組合,大船渡購買センター,岩手営業所,0003,岩手県,,
204,10301701-1,103017,おおふなと農業協同組合,盛支所,岩手営業所,0003,岩手県,,
205,10301702-1,103017,おおふなとし農業協同組合,大船渡支店,岩手営業所,0003,岩手県,,
206,10301703-1,103017,おおふなと農業協同組合,末崎支店,岩手営業所,0003,岩手県,,
207,10301704-1,103017,おおふなと農業協同組合,大田支店,岩手営業所,0003,岩手県,,
208,10301705-1,103017,おおふなとし農業協同組合,猪川支店,岩手営業所,0003,岩手県,,
209,10301707-1,103017,おおふなと農業協同組合,赤崎支店,岩手営業所,0003,岩手県,,
210,10301709-1,103017,おおふなと農業協同組合,長崎支所,岩手営業所,0003,岩手県,,
211,10301710-1,103017,おおふなと農業協同組合,立根支店,岩手営業所,0003,岩手県,,
212,10301712-1,103017,おおふなと農業協同組合,日頃市支店,岩手営業所,0003,岩手県,,
213,10301713-1,103017,おおふなと農業協同組合,泊里支店,岩手営業所,0003,岩手県,,
214,10301715-1,103017,おおふなと農業協同組合,蛸の浦支店,岩手営業所,0003,岩手県,,
215,10301717-1,103017,おおふなと農業協同組合,下船渡支店,岩手営業所,0003,岩手県,,
216,10301718-1,103017,おおふなと農業協同組合,綾里支店,岩手営業所,0003,岩手県,,
217,10301719-1,103017,おおふなとし農業協同組合,三陸支店,岩手営業所,0003,岩手県,,
218,10301720-1,103017,おおふなと農業協同組合,吉浜支店,岩手営業所,0003,岩手県,,
219,10301800-1,103018,おおふなと　農業協同組合,配送センター,岩手営業所,0003,岩手県,,
220,10301801-1,103018,おおふなとし農業協同組合,高田支所,岩手営業所,0003,岩手県,,
221,10301802-1,103018,おおふなと　農業協同組合,矢作支所,岩手営業所,0003,岩手県,,
222,10301803-1,103018,おおふなと　農業協同組合,気仙支所,岩手営業所,0003,岩手県,,
223,10301804-1,103018,おおふなと　農業協同組合,長部出張所,岩手営業所,0003,岩手県,,
224,10301805-1,103018,おおふなと　農業協同組合,広田支店,岩手営業所,0003,岩手県,,
225,10301806-1,103018,おおふなと　農業協同組合,小友支所,岩手営業所,0003,岩手県,,
226,10301807-1,103018,おおふなと　農業協同組合,米崎支所,岩手営業所,0003,岩手県,,
227,10301808-1,103018,おおふなと　農業協同組合,生出出張所,岩手営業所,0003,岩手県,,
228,10301809-1,103018,おおふなと　農業協同組合,下矢作支所,岩手営業所,0003,岩手県,,
229,10301810-1,103018,おおふなと　農業協同組合,竹駒支所,岩手営業所,0003,岩手県,,
230,10301811-1,103018,おおふなと　農業協同組合,横田支所,岩手営業所,0003,岩手県,,
231,10301900-1,103019,おおふなと　農業協同組合,資材課,岩手営業所,0003,岩手県,,
232,10301904-1,103019,おおふなと　農業協同組合,くみあいストアー,岩手営業所,0003,岩手県,,
233,10301906-1,103019,おおふなと　農業協同組合,Ａコープ住田,岩手営業所,0003,岩手県,,
234,10301907-1,103019,おおふなと　農業協同組合,ふれあいセンター,岩手営業所,0003,岩手県,,
235,10301908-1,103019,おおふなとし農業協同組合,世田米支店,岩手営業所,0003,岩手県,,
236,10301909-1,103019,おおふなと　農業協同組合,有住支店,岩手営業所,0003,岩手県,,
237,10302000-1,103020,おおふなと　農業協同組合,経済課,岩手営業所,0003,岩手県,,
238,10302001-1,103020,おおふなと　農業協同組合,本所店舗,岩手営業所,0003,岩手県,,
239,10302002-1,103020,おおふなと　農業協同組合,崎浜事業所,岩手営業所,0003,岩手県,,
240,10302004-1,103020,おおふなと　農業協同組合,綾里支所,岩手営業所,0003,岩手県,,
241,10302006-1,103020,おおふなと　農業協同組合,吉浜支所,岩手営業所,0003,岩手県,,
242,10302100-1,103021,いわて花巻　農業協同組合,（支所名なし）配置用,岩手営業所,0003,岩手県,,
243,10302101-1,103021,いわて花巻　農業協同組合,母ちゃんハウスだぁすこ,岩手営業所,0003,岩手県,,
244,10302102-1,103021,いわて花巻　農業協同組合,特産物直売所すぎの樹,岩手営業所,0003,岩手県,,
245,10302114-1,103021,いわて花巻　農業協同組合,宮野目支店,岩手営業所,0003,岩手県,,
246,10302132-1,103021,いわて花巻　農業協同組合,矢沢支店営農課,岩手営業所,0003,岩手県,,
247,10302134-1,103021,いわて花巻　農業協同組合,農家の八百屋さん,岩手営業所,0003,岩手県,,
248,10302136-1,103021,いわて花巻　農業協同組合,大迫地域生活センタ－,岩手営業所,0003,岩手県,,
249,10302137-1,103021,いわて花巻　農業協同組合,グリーンセンタ石鳥谷,岩手営業所,0003,岩手県,,
250,10302138-1,103021,いわて花巻　農業協同組合,新堀支店,岩手営業所,0003,岩手県,,
251,10302139-1,103021,いわて花巻　農業協同組合,八重畑支店,岩手営業所,0003,岩手県,,
252,10302140-1,103021,いわて花巻　農業協同組合,八幡支店,岩手営業所,0003,岩手県,,
253,10302141-1,103021,いわて花巻　農業協同組合,東和町支店,岩手営業所,0003,岩手県,,
254,10302142-1,103021,いわて花巻　農業協同組合,グリーンセンター大迫,岩手営業所,0003,岩手県,,
255,10302143-1,103021,いわて花巻　農業協同組合,営農センター花巻西部,岩手営業所,0003,岩手県,,
256,10302144-1,103021,いわて花巻　農業協同組合,矢沢支店,岩手営業所,0003,岩手県,,
257,10302145-1,103021,いわて花巻　農業協同組合,笹間地区営農センター,岩手営業所,0003,岩手県,,
258,10302146-1,103021,いわて花巻　農業協同組合,生活福祉部（矢沢）,岩手営業所,0003,岩手県,,
259,10302147-1,103021,いわて花巻　農業協同組合,グリ－ンセンタ－花巻,岩手営業所,0003,岩手県,,
260,10302148-1,103021,いわて花巻　農業協同組合,グリ－ンセンタ－東和,岩手営業所,0003,岩手県,,
261,10302149-1,103021,いわて花巻　農業協同組合,グリーンセンター大迫,岩手営業所,0003,岩手県,,
262,10302150-1,103021,いわて花巻　農業協同組合,産直杜ノ蔵,岩手営業所,0003,岩手県,,
263,10302151-1,103021,いわて花巻　農業協同組合,湯口支所,岩手営業所,0003,岩手県,,
264,10302154-1,103021,いわて花巻　農業協同組合,花巻支店,岩手営業所,0003,岩手県,,
265,10302155-1,103021,いわて花巻　農業協同組合,産直あぜみち,岩手営業所,0003,岩手県,,
266,10302157-1,103021,いわて花巻　農業協同組合,生産資材課,岩手営業所,0003,岩手県,,
267,10302500-1,103025,北上市　農業協同組合,（支所名なし）配置用,岩手営業所,0003,岩手県,,
268,10302502-1,103025,北上市　農業協同組合,黒沢尻支店,岩手営業所,0003,岩手県,,
269,10302503-1,103025,北上市　農業協同組合,鬼柳支店,岩手営業所,0003,岩手県,,
270,10302505-1,103025,北上市　農業協同組合,相去支店,岩手営業所,0003,岩手県,,
271,10302506-1,103025,北上市　農業協同組合,口内支店,岩手営業所,0003,岩手県,,
272,10302507-1,103025,北上市　農業協同組合,稲瀬支店,岩手営業所,0003,岩手県,,
273,10302508-1,103025,北上市　農業協同組合,立花支店,岩手営業所,0003,岩手県,,
274,10302509-1,103025,北上市　農業協同組合,黒岩支店,岩手営業所,0003,岩手県,,
275,10302510-1,103025,北上市　農業協同組合,二子支店,岩手営業所,0003,岩手県,,
276,10302511-1,103025,北上市　農業協同組合,更木支店,岩手営業所,0003,岩手県,,
277,10302512-1,103025,北上市　農業協同組合,飯豊支店,岩手営業所,0003,岩手県,,
278,10302513-1,103025,北上市　農業協同組合,江釣子支店,岩手営業所,0003,岩手県,,
279,10302514-1,103025,北上市　農業協同組合,みなみ支店,岩手営業所,0003,岩手県,,
280,10302515-1,103025,北上市　農業協同組合,横川目営農経済課,岩手営業所,0003,岩手県,,
281,10302900-1,103029,いわて花巻　農業協同組合,（支所名なし）配置用,岩手営業所,0003,岩手県,,
282,10303000-1,103030,いわて花巻　農業協同組合,とおの店,岩手営業所,0003,岩手県,,
283,10303015-1,103030,いわて花巻　農業協同組合,西部営農センター,岩手営業所,0003,岩手県,,
284,10303016-1,103030,いわて花巻　農業協同組合,宮守支所,岩手営業所,0003,岩手県,,
285,10303017-1,103030,いわて花巻　農業協同組合,鱒沢支所,岩手営業所,0003,岩手県,,
286,10303018-1,103030,いわて花巻　農業協同組合,達曽部支所,岩手営業所,0003,岩手県,,
287,10303024-1,103030,いわて花巻　農業協同組合,遠野東部営農センター,岩手営業所,0003,岩手県,,
288,10303025-1,103030,いわて花巻　農業協同組合,ＪＡショップ金沢店,岩手営業所,0003,岩手県,,
289,10303026-1,103030,いわて花巻　農業協同組合,グリーンショップみや,岩手営業所,0003,岩手県,,
290,10303027-1,103030,いわて花巻　農業協同組合,グリーンＣ宮守,岩手営業所,0003,岩手県,,
291,10303028-1,103030,いわて花巻　農業協同組合,グリーンＣ遠野,岩手営業所,0003,岩手県,,
